Cell Type,Value,Measurement
Nucleus accumbens core neuron,-47.8,spike threshold
Nucleus accumbens core neuron,4.0,membrane time constant
Nucleus accumbens core neuron,-89.6,resting membrane potential
Hippocampus CA1 pyramidal cell,107.0,input resistance
Hippocampus CA1 pyramidal cell,17.3,membrane time constant
Hippocampus CA1 pyramidal cell,15.4,sag ratio
Hippocampus CA1 pyramidal cell,-55.1,spike threshold
Hippocampus CA1 pyramidal cell,79.4,spike amplitude
Hippocampus CA1 pyramidal cell,1.6,spike width
Hippocampus CA1 pyramidal cell,-9.0,AHP amplitude
Hippocampus CA1 pyramidal cell,-7.3,slow AHP amplitude from resting
Hippocampus CA1 pyramidal cell,16.6,firing frequency
Hippocampus CA1 pyramidal cell,42.8,maximum firing rate
Hippocampus CA1 pyramidal cell,-70.1,resting membrane potential
Spinal cord intermediate horn motor neuron sympathetic,32.0,cell diameter
Spinal cord intermediate horn motor neuron sympathetic,-52.0,resting membrane potential
Spinal cord intermediate horn motor neuron sympathetic,52.0,input resistance
Spinal cord intermediate horn motor neuron sympathetic,2.5,spike width
Spinal cord intermediate horn motor neuron sympathetic,77.0,spike amplitude
Spinal cord intermediate horn motor neuron sympathetic,-45.0,spike threshold
Spinal cord intermediate horn motor neuron sympathetic,0.25,FI slope
Spinal cord intermediate horn motor neuron sympathetic,770.0,rheobase
Spinal cord intermediate horn motor neuron sympathetic,10.0,AHP amplitude
Spinal cord intermediate horn motor neuron sympathetic,0.6,AHP amplitude
Nucleus of the solitary tract principal cell,9.0,membrane time constant
Nucleus of the solitary tract principal cell,69.6,cell capacitance
Nucleus of the solitary tract principal cell,-42.3,spike threshold
Nucleus of the solitary tract principal cell,-47.6,resting membrane potential
Nucleus of the solitary tract principal cell,83.7,spike amplitude from resting
Nucleus of the solitary tract principal cell,141.7,input resistance
Amygdala basolateral nucleus pyramidal neuron,-71.6,resting membrane potential
Amygdala basolateral nucleus pyramidal neuron,135.8,input resistance
Amygdala basolateral nucleus pyramidal neuron,232.0,rheobase
Amygdala basolateral nucleus pyramidal neuron,-38.6,spike threshold
Amygdala basolateral nucleus pyramidal neuron,69.9,spike amplitude
Amygdala basolateral nucleus pyramidal neuron,1.2,spike half-width
Amygdala basolateral nucleus pyramidal neuron,-69.8,resting membrane potential
Amygdala basolateral nucleus pyramidal neuron,167.2,input resistance
Amygdala basolateral nucleus pyramidal neuron,190.0,rheobase
Amygdala basolateral nucleus pyramidal neuron,-38.8,spike threshold
Amygdala basolateral nucleus pyramidal neuron,68.1,spike amplitude
Amygdala basolateral nucleus pyramidal neuron,1.23,spike half-width
Amygdala basolateral nucleus pyramidal neuron,-69.5,resting membrane potential
Amygdala basolateral nucleus pyramidal neuron,138.0,input resistance
Amygdala basolateral nucleus pyramidal neuron,212.0,rheobase
Amygdala basolateral nucleus pyramidal neuron,-38.7,spike threshold
Amygdala basolateral nucleus pyramidal neuron,68.3,spike amplitude
Amygdala basolateral nucleus pyramidal neuron,1.22,spike half-width
Other,-64.3,resting membrane potential
Other,246.5,input resistance
Other,126.0,rheobase
Other,-40.1,spike threshold
Other,58.3,spike amplitude
Other,0.8,spike half-width
Hippocampus CA3 pyramidal cell,37.0,input resistance
Hippocampus CA3 pyramidal cell,-63.0,resting membrane potential
Hippocampus CA3 pyramidal cell,1.3,spike width
Hippocampus CA3 pyramidal cell,5.4,AHP amplitude
Hippocampus CA3 pyramidal cell,6.2,AHP duration
Hippocampus CA3 oriens interneuron,57.0,input resistance
Hippocampus CA3 oriens interneuron,-63.0,resting membrane potential
Hippocampus CA3 oriens interneuron,1.05,spike width
Hippocampus CA3 oriens interneuron,10.0,AHP amplitude
Hippocampus CA3 oriens interneuron,33.0,AHP duration
Neostriatum medium spiny neuron,38.5,slow AHP duration
Neostriatum medium spiny neuron,1.53,adaptation ratio (last/first ISI)
Neostriatum medium spiny neuron,38.3,input resistance
Neostriatum medium spiny neuron,32.9,membrane time constant
Neostriatum medium spiny neuron,-54.0,spike threshold
Neostriatum medium spiny neuron,60.6,spike amplitude
Neostriatum medium spiny neuron,4.4,spike width
Neostriatum medium spiny neuron,1.0,spike half-width
Neostriatum medium spiny neuron,7.3,fast AHP amplitude
Neostriatum medium spiny neuron,-85.8,resting membrane potential
Neostriatum medium spiny neuron,6.9,fast AHP duration
Neostriatum gabaergic interneuron,32.1,slow AHP duration
Neostriatum gabaergic interneuron,1.0,adaptation ratio (last/first ISI)
Neostriatum gabaergic interneuron,167.2,input resistance
Neostriatum gabaergic interneuron,54.7,membrane time constant
Neostriatum gabaergic interneuron,61.2,spike amplitude
Neostriatum gabaergic interneuron,1.0,spike width
Neostriatum gabaergic interneuron,0.19,spike half-width
Neostriatum gabaergic interneuron,14.6,fast AHP amplitude
Neostriatum gabaergic interneuron,-77.0,resting membrane potential
Neostriatum gabaergic interneuron,1.1,fast AHP duration
Neostriatum medium spiny neuron,324.6,first spike latency
Neocortex pyramidal cell layer 2-3,34.8,input resistance
Neocortex pyramidal cell layer 2-3,12.4,membrane time constant
Neocortex pyramidal cell layer 2-3,87.9,spike amplitude
Neocortex pyramidal cell layer 2-3,1.16,spike half-width
Neocortex pyramidal cell layer 2-3,206.8,rheobase
Neocortex pyramidal cell layer 2-3,59.5,FI slope
Neocortex pyramidal cell layer 5-6,33.1,input resistance
Neocortex pyramidal cell layer 5-6,14.1,membrane time constant
Neocortex pyramidal cell layer 5-6,83.2,spike amplitude
Neocortex pyramidal cell layer 5-6,1.06,spike half-width
Neocortex pyramidal cell layer 5-6,254.0,rheobase
Neocortex pyramidal cell layer 5-6,64.6,FI slope
Neocortex layer 4 stellate cell,133.0,input resistance
Neocortex layer 4 stellate cell,17.4,membrane time constant
Neocortex layer 4 stellate cell,0.91,spike half-width
Neocortex layer 4 stellate cell,12.3,firing frequency
Neocortex layer 4 stellate cell,59.4,maximum firing rate
Neocortex layer 4 stellate cell,0.23,adaptation ratio
Neocortex layer 4 stellate cell,-66.0,resting membrane potential
Neocortex basket cell,55.0,input resistance
Neocortex basket cell,8.8,membrane time constant
Neocortex basket cell,0.36,spike half-width
Neocortex basket cell,56.5,firing frequency
Neocortex basket cell,271.7,maximum firing rate
Neocortex basket cell,1.13,adaptation ratio
Neocortex basket cell,-64.0,resting membrane potential
Neocortex Martinotti cell,82.0,input resistance
Neocortex Martinotti cell,16.4,membrane time constant
Neocortex Martinotti cell,0.56,spike half-width
Neocortex Martinotti cell,17.2,firing frequency
Neocortex Martinotti cell,120.7,maximum firing rate
Neocortex Martinotti cell,0.39,adaptation ratio
Neocortex Martinotti cell,-59.0,resting membrane potential
Other,0.9,spike half-width
Other,-47.0,spike threshold
Other,51.0,spike amplitude
Other,0.9,spike half-width
Other,132.0,AHP duration
Other,15.0,AHP amplitude
Other,-61.0,resting membrane potential
Other,130.0,input resistance
Hippocampus CA1 pyramidal cell,76.2,rheobase
Hippocampus CA1 pyramidal cell,97.1,spike amplitude
Hippocampus CA1 pyramidal cell,3.22,spike width
Hippocampus CA1 pyramidal cell,1.25,spike half-width
Hippocampus CA1 pyramidal cell,-43.5,spike threshold
Hippocampus CA1 pyramidal cell,1.19,ADP amplitude
Hippocampus CA1 pyramidal cell,4.37,ADP duration
Neocortex uncharacterized cell,-61.2,resting membrane potential
Neocortex uncharacterized cell,17.3,membrane time constant
Neocortex uncharacterized cell,-38.2,spike threshold
Neocortex uncharacterized cell,1.4,spike half-width
Neocortex uncharacterized cell,-19.3,AHP amplitude
Neocortex uncharacterized cell,23.1,AHP duration
Neocortex uncharacterized cell,376.3,first spike latency
Neocortex uncharacterized cell,79.3,maximum firing rate
Neocortex uncharacterized cell,51.3,adaptation percent (1 – first/last ISI)
Neocortex uncharacterized cell,329.0,input resistance
Other,-60.5,resting membrane potential
Other,19.3,membrane time constant
Other,-36.9,spike threshold
Other,1.4,spike half-width
Other,-18.2,AHP amplitude
Other,24.8,AHP duration
Other,224.8,first spike latency
Other,59.2,maximum firing rate
Other,53.9,adaptation percent (1 – first/last ISI)
Other,285.0,input resistance
Other,-63.0,resting membrane potential
Other,17.5,membrane time constant
Other,-35.5,spike threshold
Other,1.4,spike half-width
Other,-16.1,AHP amplitude
Other,50.3,AHP duration
Other,70.3,first spike latency
Other,52.6,maximum firing rate
Other,63.7,adaptation percent (1 – first/last ISI)
Other,332.0,input resistance
Other,-60.2,resting membrane potential
Other,19.4,membrane time constant
Other,-36.1,spike threshold
Other,1.4,spike half-width
Other,-14.4,AHP amplitude
Other,24.9,AHP duration
Other,75.4,first spike latency
Other,61.5,maximum firing rate
Other,59.4,adaptation percent (1 – first/last ISI)
Other,369.0,input resistance
Other,-58.4,resting membrane potential
Other,20.1,membrane time constant
Other,-39.8,spike threshold
Other,1.2,spike half-width
Other,-13.0,AHP amplitude
Other,14.2,AHP duration
Other,259.5,first spike latency
Other,84.9,maximum firing rate
Other,41.5,adaptation percent (1 – first/last ISI)
Other,406.0,input resistance
Neocortex uncharacterized cell,-65.0,resting membrane potential
Neocortex uncharacterized cell,27.7,membrane time constant
Neocortex uncharacterized cell,-42.2,spike threshold
Neocortex uncharacterized cell,1.3,spike half-width
Neocortex uncharacterized cell,-15.3,AHP amplitude
Neocortex uncharacterized cell,14.1,AHP duration
Neocortex uncharacterized cell,14.1,first spike latency
Neocortex uncharacterized cell,81.3,maximum firing rate
Neocortex uncharacterized cell,36.3,adaptation percent (1 – first/last ISI)
Neocortex uncharacterized cell,631.0,input resistance
Other,-56.9,resting membrane potential
Other,26.4,membrane time constant
Other,-38.3,spike threshold
Other,1.1,spike half-width
Other,-12.2,AHP amplitude
Other,18.1,AHP duration
Other,18.1,first spike latency
Other,85.7,maximum firing rate
Other,459.0,input resistance
Nucleus accumbens medium spiny neuron,-83.6,resting membrane potential
Nucleus accumbens medium spiny neuron,22.2,membrane time constant
Nucleus accumbens medium spiny neuron,1.22,sag amplitude
Nucleus accumbens medium spiny neuron,-44.7,spike threshold
Nucleus accumbens medium spiny neuron,73.1,spike amplitude
Nucleus accumbens medium spiny neuron,11.9,AHP amplitude
Nucleus accumbens medium spiny neuron,10.7,AHP duration
Nucleus accumbens medium spiny neuron,269.8,input resistance
Nucleus accumbens medium spiny neuron,150.8,other
Other,463.0,FI slope
Other,0.18,other
Other,0.8,spike half-width
Other,-12.7,AHP amplitude
Other,98.1,spike amplitude
Other,506.0,spike max rise slope
Other,-122.0,spike max decay slope
Other,-77.5,resting membrane potential
Other,360.0,input resistance
Other,22.0,membrane time constant
Other,1.06,sag ratio
Other,37.0,rheobase
Other,27.0,firing frequency
Other,346.0,FI slope
Other,0.88,other
Other,0.89,spike half-width
Other,-14.8,AHP amplitude
Other,89.8,spike amplitude
Other,359.0,spike max rise slope
Other,-91.0,spike max decay slope
Other,-62.1,resting membrane potential
Other,216.0,input resistance
Other,18.0,membrane time constant
Other,1.23,sag ratio
Other,43.0,rheobase
Other,68.0,firing frequency
Other,371.0,FI slope
Other,0.32,other
Other,0.95,spike half-width
Other,-14.6,AHP amplitude
Other,92.7,spike amplitude
Other,367.0,spike max rise slope
Other,-97.0,spike max decay slope
Other,-71.1,resting membrane potential
Other,415.0,input resistance
Other,26.0,membrane time constant
Other,1.18,sag ratio
Other,36.0,rheobase
Other,24.0,firing frequency
Other,514.0,FI slope
Other,0.19,other
Other,1.24,spike half-width
Other,-14.2,AHP amplitude
Other,94.4,spike amplitude
Other,340.0,spike max rise slope
Other,-80.0,spike max decay slope
Other,-67.9,resting membrane potential
Other,819.0,input resistance
Other,52.0,membrane time constant
Other,1.1,sag ratio
Other,15.0,rheobase
Other,33.0,firing frequency
Nucleus accumbens medium spiny neuron,58.2,spike amplitude
Nucleus accumbens medium spiny neuron,315.4,spike half-width
Nucleus accumbens medium spiny neuron,-79.0,resting membrane potential
Nucleus accumbens medium spiny neuron,47.6,input resistance
Nucleus accumbens medium spiny neuron,6.5,membrane time constant
Nucleus accumbens medium spiny neuron,0.9,rheobase
Nucleus accumbens medium spiny neuron,-39.3,spike threshold
Nucleus accumbens medium spiny neuron,24.3,spike amplitude
Nucleus accumbens medium spiny neuron,8.4,spike half-width
Nucleus accumbens medium spiny neuron,22.3,AHP amplitude
Nucleus accumbens medium spiny neuron,-76.0,resting membrane potential
Nucleus accumbens medium spiny neuron,0.6,rheobase
Nucleus accumbens medium spiny neuron,145.7,spike half-width
Nucleus accumbens medium spiny neuron,-68.7,resting membrane potential
Nucleus accumbens medium spiny neuron,0.9,rheobase
Nucleus accumbens medium spiny neuron,-14.2,spike threshold
Other,78.1,spike amplitude
Other,6.3,membrane time constant
Other,13.4,rheobase
Other,4.0,AHP amplitude
Other,72.1,AHP duration
Other,-67.8,resting membrane potential
Other,1.7,input resistance
Hippocampus CA1 pyramidal cell,107.4,spike amplitude
Hippocampus CA1 pyramidal cell,5.2,AHP amplitude
Hippocampus CA1 pyramidal cell,-66.4,resting membrane potential
Hippocampus CA1 pyramidal cell,18.9,maximum firing rate
Hippocampus CA1 pyramidal cell,336.0,input resistance
Hippocampus CA1 pyramidal cell,75.9,cell capacitance
Hippocampus CA1 pyramidal cell,-52.3,spike threshold
Hippocampus CA1 IS-I neuron,89.0,spike amplitude
Hippocampus CA1 IS-I neuron,20.5,AHP amplitude
Hippocampus CA1 IS-I neuron,-58.4,resting membrane potential
Hippocampus CA1 IS-I neuron,38.6,maximum firing rate
Hippocampus CA1 IS-I neuron,573.0,input resistance
Hippocampus CA1 IS-I neuron,49.6,cell capacitance
Hippocampus CA1 IS-I neuron,-48.0,spike threshold
Neocortex pyramidal cell layer 5-6,-13.7,fast AHP amplitude
Neocortex pyramidal cell layer 5-6,-17.1,slow AHP amplitude
Neocortex pyramidal cell layer 5-6,-70.2,resting membrane potential
Neocortex pyramidal cell layer 5-6,39.0,maximum firing rate
Neocortex pyramidal cell layer 5-6,146.2,input resistance
Neocortex pyramidal cell layer 5-6,12.0,membrane time constant
Neocortex pyramidal cell layer 5-6,195.6,rheobase
Neocortex pyramidal cell layer 5-6,101.7,spike amplitude from resting
Neocortex pyramidal cell layer 5-6,67.9,first spike latency
Neocortex pyramidal cell layer 5-6,0.77,spike half-width
Neocortex pyramidal cell layer 5-6,99.3,spike max rise slope
Neocortex pyramidal cell layer 5-6,-79.1,spike max decay slope
Neocortex pyramidal cell layer 5-6,-30.4,spike threshold
Neocortex pyramidal cell layer 5-6,-9.4,fast AHP amplitude
Neocortex pyramidal cell layer 5-6,-15.5,slow AHP amplitude
Neocortex pyramidal cell layer 5-6,-70.5,resting membrane potential
Neocortex pyramidal cell layer 5-6,48.9,maximum firing rate
Neocortex pyramidal cell layer 5-6,152.1,input resistance
Neocortex pyramidal cell layer 5-6,16.5,membrane time constant
Neocortex pyramidal cell layer 5-6,133.4,rheobase
Neocortex pyramidal cell layer 5-6,102.0,spike amplitude from resting
Neocortex pyramidal cell layer 5-6,137.1,first spike latency
Neocortex pyramidal cell layer 5-6,1.02,spike half-width
Neocortex pyramidal cell layer 5-6,105.1,spike max rise slope
Neocortex pyramidal cell layer 5-6,-50.7,spike max decay slope
Neocortex pyramidal cell layer 5-6,-32.2,spike threshold
Cerebellar nucleus cell,-9.1,fast AHP amplitude
